epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,41.4033,0.60274,1.56709,1.0128,0.68479,0.87669,0.68205,0.57422,0.66468,2.2058,0.86407,0.000154096,0.000154096,0.000154096
89,41.7813,0.58556,1.52238,0.98485,0.68479,0.87669,0.68205,0.57422,0.66468,2.2058,0.86407,0.000143097,0.000143097,0.000143097
90,42.1841,0.55295,1.423,0.98028,0.68417,0.87817,0.67891,0.56262,0.65415,2.19884,0.86045,0.000132098,0.000132098,0.000132098
91,43.1778,0.60337,1.82906,1.00355,0.68417,0.87817,0.67891,0.56262,0.65415,2.19884,0.86045,0.000121099,0.000121099,0.000121099
92,43.6076,0.63071,2.05147,1.07058,0.63734,0.88333,0.64575,0.53358,0.65039,2.09965,0.85558,0.0001101,0.0001101,0.0001101
93,43.9601,0.51022,1.68744,0.91656,0.63734,0.88333,0.64575,0.53358,0.65039,2.09965,0.85558,9.91012e-05,9.91012e-05,9.91012e-05
94,44.4686,0.53796,1.7849,0.99788,0.63953,0.88333,0.63076,0.5193,0.64535,1.97297,0.85566,8.81023e-05,8.81023e-05,8.81023e-05
95,44.858,0.5749,1.73352,0.97335,0.63953,0.88333,0.63076,0.5193,0.64535,1.97297,0.85566,7.71034e-05,7.71034e-05,7.71034e-05
96,45.2317,0.63755,1.77795,1.06132,0.64026,0.88333,0.61975,0.5122,0.6503,1.88505,0.85764,6.61045e-05,6.61045e-05,6.61045e-05
97,45.6128,0.62578,1.96139,1.02128,0.64026,0.88333,0.61975,0.5122,0.6503,1.88505,0.85764,5.51056e-05,5.51056e-05,5.51056e-05
98,45.9868,0.52333,1.75693,0.98525,0.64376,0.88333,0.62069,0.51126,0.64727,1.84013,0.85876,4.41067e-05,4.41067e-05,4.41067e-05
99,46.3654,0.62714,1.73245,1.09426,0.64376,0.88333,0.62069,0.51126,0.64727,1.84013,0.85876,3.31078e-05,3.31078e-05,3.31078e-05
100,46.7346,0.48061,1.55591,0.8789,0.64617,0.8812,0.61931,0.504,0.64839,1.82262,0.86258,2.21089e-05,2.21089e-05,2.21089e-05
